target_id	est_counts	tpm
ENSMUST00000005371.11	11.3914	119.0276
ENSMUST00000108658.9	11.3914	119.0276
ENSMUST00000108657.3	96.8257	1011.7209
ENSMUST00000171247.7	11.3914	119.0276
ENSMUST00000035822.1	161.0000	1682.2703
ENSMUST00000071564.13	143.0000	1494.1904
ENSMUST00000118875.7	286.9896	2998.7211
ENSMUST00000098461.9	223.2870	2333.0995
ENSMUST00000023691.11	164.9936	1723.9994
ENSMUST00000156133.7	0.0064	0.0664
ENSMUST00000095786.5	181.0000	1891.2480
ENSMUST00000035724.4	67.0000	700.0752
ENSMUST00000000727.3	145.0000	1515.0882
ENSMUST00000193338.5	21.9545	229.4005
ENSMUST00000056370.12	21.9545	229.4005
ENSMUST00000082402.1	800.9912	8369.4641
ENSMUST00000044228.10	257.6055	2691.6901
ENSMUST00000167143.1	157.3945	1644.5967
ENSMUST00000086374.7	36.5000	381.3843
ENSMUST00000215619.1	36.5000	381.3843
ENSMUST00000055738.11	614.0000	6415.6148
ENSMUST00000054368.6	148.5728	1552.4203
ENSMUST00000204168.1	42.4272	443.3165
ENSMUST00000004729.4	30.0000	313.4665
ENSMUST00000021864.7	432.0000	4513.9179
ENSMUST00000042235.14	368.0000	3845.1893
ENSMUST00000043214.6	132.0000	1379.2527
ENSMUST00000037941.9	105.0000	1097.1328
ENSMUST00000162415.8	275.0000	2873.4427
ENSMUST00000133023.1	0.0000	0.0000
ENSMUST00000112995.2	0.0000	0.0000
ENSMUST00000055808.5	182.0000	1901.6969
ENSMUST00000040828.5	524.0000	5475.2152
ENSMUST00000049022.14	68.8733	719.6489
ENSMUST00000166407.7	0.0185	0.1934
ENSMUST00000096255.5	46.9815	490.9042
ENSMUST00000055262.12	36.0000	376.1596
ENSMUST00000028062.7	575.9944	6018.4983
ENSMUST00000105349.7	15.0000	156.7333
ENSMUST00000092295.9	15.0000	156.7333
ENSMUST00000020637.8	148.0000	1546.4348
ENSMUST00000179865.7	148.0000	1546.4348
ENSMUST00000169536.7	211.4972	2209.9101
ENSMUST00000099443.10	2.5028	26.1511
